COVID-19 Legislation,Region,Official Description,Source Link,Status Text,Last Timeline Action,Last Timeline Action Date,Internal Quorum Link
S.8246: Relates to permitting unemployment benefits in certain cases of voluntary separation from employment during the COVID-19 emergency,New York,Permits unemployment benefits in the case of voluntary separation from employment during the COVID-19 emergency for persons over age 65 or persons with health conditions which make them at risk.,http://nysenate.gov/legislation/bills/2019/S8246,Introduced or Prefiled,Referred To Labor,4/27/20,https://quorum.us/bill/2728167
S.345: An act relating to temporary municipal meeting provisions in response to the COVID-19 outbreak,Vermont,An act relating to temporary municipal meeting provisions in response to the COVID-19 outbreak,http://legislature.vermont.gov/bill/status/2020/S.345,Out of Committee,"Rules suspended & messaged to House forthwith, on motion of Senator Ashe",4/27/20,https://quorum.us/bill/2727989
"P.S.1566: Para enmendar los Artículos 7.001 y 7.001-A del Capítulo 7 de la Ley Núm. 81-1991, según enmendada, mejor conocida como la “Ley de Municipios Autónomos de Puerto Rico”, con el fin de establecer nuevas fechas para que los alcaldes sometan y las Legislaturas Municipales aprueben el proyecto de presupuesto del año fiscal 2020-2021 debido a la emergencia ocasionada por la Pandemia del virus COVID-19; y para otros fines relacionados.",Puerto Rico,"Para enmendar los Artículos 7.001 y 7.001-A del Capítulo 7 de la Ley Núm. 81-1991, según enmendada, mejor conocida como la “Ley de Municipios Autónomos de Puerto Rico”, con el fin de establecer nuevas fechas para que los alcaldes sometan y las Legislaturas Municipales aprueben el proyecto de presupuesto del año fiscal 2020-2021 debido a la emergencia ocasionada por la Pandemia del virus COVID-19; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135712,Passed Original Chamber,Texto de Aprobación Final enviado a la Cámara,4/27/20,https://quorum.us/bill/2728049
"H.B.2423: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2423,Out of Committee,Removed from table,4/28/20,https://quorum.us/bill/2726367
"P.S.1565: Para enmendar el Artículo 38A de la Ley Núm. 104 de 25 de junio de 1958, según enmendada, conocida como la “Ley de Condominios”, con el fin de permitir la votación electrónica para acuerdos del Consejo de Titulares durante declaraciones de emergencia decretadas por el Gobierno de Puerto Rico o el Gobierno de los Estados Unidos de América.",Puerto Rico,"Para enmendar el Artículo 38A de la Ley Núm. 104 de 25 de junio de 1958, según enmendada, conocida como la “Ley de Condominios”, con el fin de permitir la votación electrónica para acuerdos del Consejo de Titulares durante declaraciones de emergencia decretadas por el Gobierno de Puerto Rico o el Gobierno de los Estados Unidos de América.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135713,Passed Original Chamber,Texto de Aprobación Final enviado a la Cámara,4/27/20,https://quorum.us/bill/2728067
"R.K.C.0125: Para exigir a la Honorable Wanda Vázquez Garced, Gobernadora de Puerto Rico, que conteste con prioridad y a la brevedad posible, de manera satisfactoria y con toda la evidencia pertinente, las serias interrogantes y preocupaciones expresadas por el Senador Charles E. Grassley, Presidente de la Comisión de Finanzas del Senado de los Estados Unidos de América, en la misiva enviada el 20 de abril de 2020 relacionados a aspectos puntuales de la presente Administración respecto a las decisiones tomadas para atender la crisis del COVID-19, la cadena de mando para dichas determinaciones, las razones para las renuncias de funcionarios y la inestabilidad en la dirección del Departamento de Salud, los procesos de compra de pruebas y equipos médicos que se encuentran cuestionados por alegaciones de favoritismo y corrupción, así como las investigaciones relacionadas a varias situaciones referentes a la respuesta gubernamental a la crisis tras los terremotos y los huracanes Irma y María en las que también se alega mal manejo de fondos públicos, corrupción y favoritismo político, y las consecuencias de dichos procesos, entre otros requerimientos incluidos en la comunicación, y que dicha respuesta al senador federal, por la importancia y transcendencia que tendría para nuestra Isla, no se delegue en ningún otro funcionario de la Rama Ejecutiva; y para otros fines relacionados.",Puerto Rico,"Para exigir a la Honorable Wanda Vázquez Garced, Gobernadora de Puerto Rico, que conteste con prioridad y a la brevedad posible, de manera satisfactoria y con toda la evidencia pertinente, las serias interrogantes y preocupaciones expresadas por el Senador Charles E. Grassley, Presidente de la Comisión de Finanzas del Senado de los Estados Unidos de América, en la misiva enviada el 20 de abril de 2020 relacionados a aspectos puntuales de la presente Administración respecto a las decisiones tomadas para atender la crisis del COVID-19, la cadena de mando para dichas determinaciones, las razones para las renuncias de funcionarios y la inestabilidad en la dirección del Departamento de Salud, los procesos de compra de pruebas y equipos médicos que se encuentran cuestionados por alegaciones de favoritismo y corrupción, así como las investigaciones relacionadas a varias situaciones referentes a la respuesta gubernamental a la crisis tras los terremotos y los huracanes Irma y María en las que también se alega mal manejo de fondos públicos, corrupción y favoritismo político, y las consecuencias de dichos procesos, entre otros requerimientos incluidos en la comunicación, y que dicha respuesta al senador federal, por la importancia y transcendencia que tendría para nuestra Isla, no se delegue en ningún otro funcionario de la Rama Ejecutiva; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135777,Introduced or Prefiled,Aparece en Primera Lectura de la Cámara,4/27/20,https://quorum.us/bill/2728160
S.8228: Relates to establishing the crime of coronavirus related fraud,New York,Establishes the crime of coronavirus related fraud; requires sentences for such crime be run consecutively to any crime arising from the same criminal transaction.,http://nysenate.gov/legislation/bills/2019/S8228,Introduced or Prefiled,Referred To Codes,4/27/20,https://quorum.us/bill/2728164
S.8248: Relates to establishing a tax credit for essential retail employees during the novel coronavirus (COVID-19) outbreak,New York,"Relates to establishing a tax credit for essential retail employees during the novel coronavirus (COVID-19) outbreak for tax owed between February 15, 2020 to June 15, 2020; such period of time can be extended for up to three years by the commissioner.",http://nysenate.gov/legislation/bills/2019/S8248,Introduced or Prefiled,Referred To Budget And Revenue,4/27/20,https://quorum.us/bill/2728163
"S.8254: Relates to the ""Do No Harm Act""",New York,Relates to the negative effect of COVID-19 related budget cuts on certain populations.,http://nysenate.gov/legislation/bills/2019/S8254,Introduced or Prefiled,Referred To Finance,4/27/20,https://quorum.us/bill/2728158
R.C.C.0687: Para ordenar al Secretario del Departamento de Hacienda a pagar en su totalidad el crédito compensatorio personal reembolsable para personas mayores de sesenta y cinco años (65) o más para los años contributivos 2016 y 2017; y para otros fines relacionados.,Puerto Rico,Para ordenar al Secretario del Departamento de Hacienda a pagar en su totalidad el crédito compensatorio personal reembolsable para personas mayores de sesenta y cinco años (65) o más para los años contributivos 2016 y 2017; y para otros fines relacionados.,https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135770,Introduced or Prefiled,Aparece en Primera Lectura de la Cámara,4/27/20,https://quorum.us/bill/2728143
"R.C.C.0690: Para establecer medidas en respuesta a la situación que viven los beneficiarios del Programa de Asistencia Nustricional (PAN) y del Programa de Asistencia por Desempleo ante la pandemia mundial que también ha afectado a Puerto Rico a consecuencia del Coronavirus (COVID-19); autorizar al Secretario del Departamento de Hacienda a prestar ayuda al Departamento de la Familia (DF) y al Departametno del Trabajo y Recursos Humanos (DTRH), para utilizarla exclusivamente en beneficio de aquellos servidores públicos que sean asignados a prestar servicios para canalizar el aumento en solicitudes de asistencia nutricional y desempleo; asegurar que dichos empleados tengan los equipos y materiales adecuados para la situación de emergencia que afrontan; disponer para un pago adicional para los servidores públicos que como parte de sus responsabilidades ordinarias, o haciendo uso de la movilidad en el servicio, sean destacados a procesar las miles de solicitudes de beneficios; y para otros fines relacionados.",Puerto Rico,"Para establecer medidas en respuesta a la situación que viven los beneficiarios del Programa de Asistencia Nustricional (PAN) y del Programa de Asistencia por Desempleo ante la pandemia mundial que también ha afectado a Puerto Rico a consecuencia del Coronavirus (COVID-19); autorizar al Secretario del Departamento de Hacienda a prestar ayuda al Departamento de la Familia (DF) y al Departametno del Trabajo y Recursos Humanos (DTRH), para utilizarla exclusivamente en beneficio de aquellos servidores públicos que sean asignados a prestar servicios para canalizar el aumento en solicitudes de asistencia nutricional y desempleo; asegurar que dichos empleados tengan los equipos y materiales adecuados para la situación de emergencia que afrontan; disponer para un pago adicional para los servidores públicos que como parte de sus responsabilidades ordinarias, o haciendo uso de la movilidad en el servicio, sean destacados a procesar las miles de solicitudes de beneficios; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135774,Introduced or Prefiled,Aparece en Primera Lectura de la Cámara,4/27/20,https://quorum.us/bill/2728154
S.8237: Relates to requiring the department of health to prepare a report on the number of surplus ventilators within the state at the conclusion of the COVID-19 state of emergency,New York,Requires the department of health to prepare a report on the number of surplus ventilators within the state at the conclusion of the COVID-19 state of emergency.,http://nysenate.gov/legislation/bills/2019/S8237,Introduced or Prefiled,Referred To Health,4/27/20,https://quorum.us/bill/2728152
S.F.4486: COVID-19 coronavirus relief account establishment,Minnesota,COVID-19 coronavirus relief account establishment,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF4486&ssn=0&y=2019,Out of Committee,Third reading Passed,4/27/20,https://quorum.us/bill/2724764
H.4668: ,Massachusetts,,https://malegislature.gov/Bills/191/H4668,Introduced or Prefiled,"Text of an amendment, see S2645",4/23/20,https://quorum.us/bill/2727926
H.B.5736: Children; child care; child care regulatory restrictions; suspend during a declared emergency.,Michigan,Children; child care; child care regulatory restrictions; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-HB-5736,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727884
H.B.5723: Health occupations; emergency medical services personnel; certain restrictions and requirements governing the provision of emergency medical services; suspend during a declared emergency.,Michigan,Health occupations; emergency medical services personnel; certain restrictions and requirements governing the provision of emergency medical services; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-HB-5723,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727862
H.B.5732: Transportation; other; certain credentialing for motor fuel carriers; suspend during a declared emergency.,Michigan,Transportation; other; certain credentialing for motor fuel carriers; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-HB-5732,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727879
"S.B.0871: Transportation; other; load and delivery restrictions on motor carriers and drivers engaged in the transport of essential supplies, equipment, and persons; suspend during a declared emergency.",Michigan,"Transportation; other; load and delivery restrictions on motor carriers and drivers engaged in the transport of essential supplies, equipment, and persons; suspend during a declared emergency.",http://legislature.mi.gov/doc.aspx?2020-SB-0871,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727945
A.B.860: Elections: vote by mail ballots.,California,"Under existing law, a registered voter may vote by mail by requesting a vote by mail ballot for a specific election or by becoming a permanent vote by mail voter. County elections officials must begin mailing ballots and other required materials to these voters no later than 29 days before the day of the election. Existing law, the California Voter’s Choice Act, authorizes any county to conduct any election occurring on or after January 1, 2020, as an all-mailed ballot election if specified conditions are met. In an all-mailed ballot election held under the act, the county elections official must mail a ballot to every registered voter, regardless of whether the voter requested a vote by mail ballot or is a permanent vote by mail voter.
This bill would require county elections officials to mail a ballot to every registered voter for the November 3, 2020 statewide general election.
By requiring county elections officials to mail a ballot to every registered voter, this bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that, if the Commission on State Mandates determines that the bill contains costs mandated by the state, reimbursement for those costs shall be made pursuant to the statutory provisions noted above.
This bill would declare that it is to take effect immediately as an urgency statute.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB860,Passed Original Chamber,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Committee on Committee on Governmental Organization",4/24/20,https://quorum.us/bill/2561300
"H.R.1004: to Authorize the Introduction of a Nonappropriation Bill to Amend the Income Tax Imposed on Individuals, Trusts, and Estates.",Arkansas,"to Authorize the Introduction of a Nonappropriation Bill to Amend the Income Tax Imposed on Individuals, Trusts, and Estates.",https://www.arkleg.state.ar.us/Bills/Detail?ddBienniumSession=2019%2F2020F&measureno=HR1004,Out of Committee,Died in House Committee at Sine Die Adjournment,4/24/20,https://quorum.us/bill/2724893
A.B.1667: Electronic wills.,California,"Existing law governs the execution of wills. Existing law generally requires a will to be in writing and to satisfy specified requirements of the Probate Code, including being signed by a testator, another person at the testator’s direction, or a conservator pursuant to court order. A will that fails to meet those requirements may be valid as a holographic will, as specified. Existing law also allows for the execution of a California statutory will.
This bill, for the estates of decedents with a date of death on or after January 1, 2021, would provide that
a will executed in compliance with the provisions applicable to written wills is not invalid solely because it is written or stored in an electronic record, as defined, or signed by the testator or witnesses using an electronic signature, as defined.
Existing law specifies the methods of revoking a will or part thereof, including by a subsequent will that revokes a prior will either expressly or by inconsistency.
This bill would provide for the revocation of a will that is written, signed, or stored in an electronic record, by a physical act performed by the testator or another person in the testator’s presence and at the
testator’s direction on a copy of the will stored in an electronic record or on a printed copy of an electronic will. The bill would require the testator’s intent to revoke a will in this manner to be shown by clear and convincing evidence.
Existing law requires the custodian of a will to deliver the will to the clerk of the superior court in the county in which the estate may be administered and a copy to the person named in the will as executor and establishes a fee for delivering the will to the clerk of the superior court.
This bill would clarify that the same requirements apply to the custodian of a will stored in an electronic record, including payment of the fee. The bill would also require the custodian of a will stored in an electronic record to certify the copy of the will by attaching to the copy a
declaration, under penalty of perjury, that the copy is a complete, true, and accurate copy of the original will as entrusted to the custodian. By expanding the definition of the crime of perjury, this bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1667,Passed Original Chamber,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Committee on Committee on Judiciary",4/24/20,https://quorum.us/bill/2564221
S.B.47: an Act for the Administrative Office of the Courts Appropriation for the 2020-2021 Fiscal Year.,Arkansas,an Act for the Administrative Office of the Courts Appropriation for the 2020-2021 Fiscal Year.,https://www.arkleg.state.ar.us/Bills/Detail?ddBienniumSession=2019%2F2020F&measureno=SB47,Enacted,Notification that SB47 is now Act 144,4/24/20,https://quorum.us/bill/2724881
J.3124: Expressing sincere gratitude to the Chinese government for their thoughtful gift of vital medical equipment to the people of New York City,New York,Expressing sincere gratitude to the Chinese government for their thoughtful gift of vital medical equipment to the people of New York City,http://nysenate.gov/legislation/resolutions/2019/J3124,Introduced or Prefiled,Referred To Finance,4/24/20,https://quorum.us/bill/2727938
S.B.0875: Education; other; portions of Executive Order No. 2020-35; incorporate by reference into the revised school code and specify certain requirements related to disaster relief child care centers. TIE BAR WITH: SB 0885'20,Michigan,Education; other; portions of Executive Order No. 2020-35; incorporate by reference into the revised school code and specify certain requirements related to disaster relief child care centers. TIE BAR WITH: SB 0885'20,http://legislature.mi.gov/doc.aspx?2020-SB-0875,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727942
H.C.R.0020: A concurrent resolution to create the Joint Select Committee on the COVID-19 Pandemic.,Michigan,A concurrent resolution to create the Joint Select Committee on the COVID-19 Pandemic.,http://legislature.mi.gov/doc.aspx?2020-HCR-0020,Enacted,Adopted,4/24/20,https://quorum.us/bill/2727877
"H.B.5726: Transportation; other; load and delivery restrictions on motor carriers and drivers engaged in the transport of essential supplies, equipment, and persons; suspend during a declared emergency.",Michigan,"Transportation; other; load and delivery restrictions on motor carriers and drivers engaged in the transport of essential supplies, equipment, and persons; suspend during a declared emergency.",http://legislature.mi.gov/doc.aspx?2020-HB-5726,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727885
"H.B.2431: An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in emergency finance and tax provisions, providing for local taxation on real property and for reopening of 2019-2020 school district budgets.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in emergency finance and tax provisions, providing for local taxation on real property and for reopening of 2019-2020 school district budgets.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2431,Introduced or Prefiled,PN 3608 Referred to STATE GOVERNMENT,4/24/20,https://quorum.us/bill/2727913
"H.B.2433: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2433,Introduced or Prefiled,PN 3610 Referred to TRANSPORTATION,4/24/20,https://quorum.us/bill/2727905
S.B.0882: Health facilities; certificate of need; certain regulatory requirements of health care facilities; suspend during a declared emergency.,Michigan,Health facilities; certificate of need; certain regulatory requirements of health care facilities; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-SB-0882,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727922
S.8184A.: Establishes tiers of essential employees during a state of emergency,New York,Establishes tiers of essential employees during a state of emergency and designates categories of employees in each tier.,http://nysenate.gov/legislation/bills/2019/S8184,Introduced or Prefiled,Print Number 8184A,4/24/20,https://quorum.us/bill/2724559
H.B.5724: Health occupations; health professionals; certain restrictions and requirements governing the provision of medical services; suspend during a declared emergency.,Michigan,Health occupations; health professionals; certain restrictions and requirements governing the provision of medical services; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-HB-5724,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727895
S.B.0880: Health occupations; health professionals; certain restrictions and requirements governing the provision of medical services; suspend during a declared emergency.,Michigan,Health occupations; health professionals; certain restrictions and requirements governing the provision of medical services; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-SB-0880,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727917
H.R. 5503: Urges members of Congress to vote in favor of the Justice for Victims of COVID-19 Act and declares support for the Missouri attorney general's lawsuit against the Chinese government,Missouri,Urges members of Congress to vote in favor of the Justice for Victims of COVID-19 Act and declares support for the Missouri attorney general's lawsuit against the Chinese government,http://www.house.mo.gov/BillContent.aspx?bill=HR5503&year=2020&code=R%20,Introduced or Prefiled,Offered (H),4/24/20,https://quorum.us/bill/2727864
S.B.0881: Health occupations; emergency medical services personnel; certain restrictions and requirements governing the provision of emergency medical services; suspend during a declared emergency.,Michigan,Health occupations; emergency medical services personnel; certain restrictions and requirements governing the provision of emergency medical services; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-SB-0881,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727921
S.B.0885: Children; child care; child care regulatory restrictions; suspend during a declared emergency.,Michigan,Children; child care; child care regulatory restrictions; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-SB-0885,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727943
"H.F.1507: Minnesota investment fund grant program limits modified, job training grant program modified, and money appropriated.",Minnesota,"Minnesota investment fund grant program limits modified, job training grant program modified, and money appropriated.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF1507&ssn=0&y=2019,Out of Committee,"Division action, to adopt as amended and return to Ways and Means",4/24/20,https://quorum.us/bill/2562527
H.B.5725: Employment security; benefits; unemployment benefits for certain employees during a declared emergency; expand.,Michigan,Employment security; benefits; unemployment benefits for certain employees during a declared emergency; expand.,http://legislature.mi.gov/doc.aspx?2020-HB-5725,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727890
"H.B.387: AN ACT relating to the rural hospital operations and facilities revolving loan fund, making an appropriation therefor, and declaring an emergency.",Kentucky,Create a new section of Subchapter 20 of KRS Chapter 154 to establish the rural hospital operations and facilities revolving loan fund; APPROPRIATION.,https://apps.legislature.ky.gov/record/20rs/hb387.html,Enacted,line items vetoed,4/24/20,https://quorum.us/bill/2692213
"H.R.1005: to Authorize the Introduction of a Nonappropriation Bill to Prohibit Elective Procedures During the Coronavirus Disease 2019, Also Known as Covid-19, Public Health Emergency.",Arkansas,"to Authorize the Introduction of a Nonappropriation Bill to Prohibit Elective Procedures During the Coronavirus Disease 2019, Also Known as Covid-19, Public Health Emergency.",https://www.arkleg.state.ar.us/Bills/Detail?ddBienniumSession=2019%2F2020F&measureno=HR1005,Out of Committee,Died in House Committee at Sine Die Adjournment,4/24/20,https://quorum.us/bill/2724923
S.2643: An Act Establishing A Massachusetts Paycheck Protection Program (Ppp) For Businesses Ineligible For The Comparable Federal Ppp,Massachusetts,"By Ms. DiZoglio, a petition (accompanied by bill, Senate, No. 2643) (subject to Joint Rule 12) of Diana DiZoglio, Lenny Mirra, Patricia D. Jehlen, Adam G. Hinds and other members of the General Court for legislation to establish a Massachusetts Paycheck Protection Program (PPP) for businesses ineligible for the comparable federal PPP. Community Development and Small Businesses.",https://malegislature.gov/Bills/191/S2643,Introduced or Prefiled,Hearing scheduled for 05/05/2020 from 11:00 AM-01:00 PM in Virtual Hearing,4/24/20,https://quorum.us/bill/2727746
S.B.0886: Employment security; benefits; unemployment benefits for certain employees during a declared emergency; expand.,Michigan,Employment security; benefits; unemployment benefits for certain employees during a declared emergency; expand.,http://legislature.mi.gov/doc.aspx?2020-SB-0886,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727944
H.B.5739: Insurance; other; business interruption coverage for COVID-19 losses; provide for.,Michigan,Insurance; other; business interruption coverage for COVID-19 losses; provide for.,http://legislature.mi.gov/doc.aspx?2020-HB-5739,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727899
H.B.5734: Education; other; portions of Executive Order No. 2020-35; incorporate by reference into the revised school code and specify certain requirements related to disaster relief child care centers. TIE BAR WITH: HB 5736'20,Michigan,Education; other; portions of Executive Order No. 2020-35; incorporate by reference into the revised school code and specify certain requirements related to disaster relief child care centers. TIE BAR WITH: HB 5736'20,http://legislature.mi.gov/doc.aspx?2020-HB-5734,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727860
H.B. 29: Budget Bill.,Virginia,"Budget Bill. Amends Chapter 854 of the

2019 Acts of Assembly.",http://lis.virginia.gov/cgi-bin/legp604.exe?201+sum+HB29,Enacted,Acts of Assembly Chapter text (CHAP1283),4/24/20,https://quorum.us/bill/2650575
S.B.0872: Transportation; other; certain credentialing for motor fuel carriers; suspend during a declared emergency.,Michigan,Transportation; other; certain credentialing for motor fuel carriers; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-SB-0872,Introduced or Prefiled,Referred To Committee On Government Operations,4/24/20,https://quorum.us/bill/2727934
H.B.5715: Health facilities; certificate of need; certain regulatory requirements of health care facilities; suspend during a declared emergency.,Michigan,Health facilities; certificate of need; certain regulatory requirements of health care facilities; suspend during a declared emergency.,http://legislature.mi.gov/doc.aspx?2020-HB-5715,Introduced or Prefiled,Bill Electronically Reproduced 04/30/2020,4/28/20,https://quorum.us/bill/2727866
S.333: An act relating to establishing a moratorium on ejectment and foreclosure actions during the COVID-19 emergency,Vermont,An act relating to expediting evictions for owner-occupied rental properties,http://legislature.vermont.gov/bill/status/2020/S.333,Passed Original Chamber,"Read First Time and Referred to the Committee on General, Housing, and Military Affairs",4/23/20,https://quorum.us/bill/2677570
S.F.4507: Low-risk business operation during peacetime emergency waiver process authorization,Minnesota,Low-risk business operation during peacetime emergency waiver process authorization,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF4507&ssn=0&y=2019,Introduced or Prefiled,Referred to Jobs and Economic Growth Finance and Policy,4/23/20,https://quorum.us/bill/2727774
S.2647: An Act Providing Assistance To Vulnerable Populations During The Covid-19 Emergency,Massachusetts,"Senate, April 23, 2020 -- The committee on Senate Ways and Means to whom was referred the House Bill relative to host community agreements (House, No. 4398), - reported, in part, a ""Bill providing assistance to vulnerable populations during the COVID-19 emergency"" (Senate, No. 2647).",https://malegislature.gov/Bills/191/S2647,Passed Original Chamber,Read; and referred to the committee on House Ways and Means,4/23/20,https://quorum.us/bill/2727987
S.B. 3006: Covid-19 Financial Relief Funding,Utah,Covid-19 Financial Relief Funding,https://le.utah.gov/~2020S3/bills/static/SB3006.html,Sent to Executive,Senate enrolled bill to Printing,4/27/20,https://quorum.us/bill/2724717
S.D.2922: An Act Relative To School Transportation Vendors During The Covid-19 Pandemic,Massachusetts,"By Mr. Kennedy, a petition (accompanied by bill) (subject to Joint Rule 12) of Edward J. Kennedy for legislation relative to school transportation vendors during the COVID-19 pandemic. Education.",https://malegislature.gov/Bills/191/SD2922,Introduced or Prefiled,"Referred to the committee on Rules of the two branches, acting concurrently",4/23/20,https://quorum.us/bill/2727850
"H.D.5043: An Act Requiring The Collection, Disclosure And Reporting Of Covid-19 Data In State And County Correctional Facilities",Massachusetts,"An Act Requiring The Collection, Disclosure And Reporting Of Covid-19 Data In State And County Correctional Facilities",https://malegislature.gov/Bills/191/HD5043,Introduced or Prefiled,Draft Filed,4/21/20,https://quorum.us/bill/2727807
H.D.5042: An Act Assisting Non-Profits To Provide For Covid-19 Unemployment Benefits,Massachusetts,An Act Assisting Non-Profits To Provide For Covid-19 Unemployment Benefits,https://malegislature.gov/Bills/191/HD5042,Introduced or Prefiled,Draft Filed,4/21/20,https://quorum.us/bill/2727808
S.F.4518: Class 3A property tax payments delay authorization,Minnesota,Class 3A property tax payments delay authorization,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF4518&ssn=0&y=2019,Introduced or Prefiled,"Chief author added Anderson, P.",4/27/20,https://quorum.us/bill/2727821
S.2618: An Act Providing Additional Support To Those Affected By The Novel Coronavirus Through The Unemployment Insurance System,Massachusetts,"Senate, April 2, 2020 -- The committee on Senate Ways and Means to whom was referred the message from His Excellency the Governor recommending legislation to authorize the waiver of the one-week waiting period for unemployment benefits (accompanied by bill, Senate, No. 2598), - reported, in part, a ""Bill providing additional support to those affected by the novel coronavirus through the unemployment insurance system"" (Senate, No. 2618).",https://malegislature.gov/Bills/191/S2618,Passed Second Chamber,Referred to the committee on Bills in the Third Reading,4/23/20,https://quorum.us/bill/2723999
H.D.5015: An Act Relative To Showing Residential Property,Massachusetts,"By Mr. Vitolo of Brookline, a petition (subject to Joint Rule 12) of Tommy Vitolo and others relative to the showing of residential real property during the COVID-19 state of emergency declaration. Housing.",https://malegislature.gov/Bills/191/HD5015,Introduced or Prefiled,"Reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Housing",4/23/20,https://quorum.us/bill/2724229
S.F.4512: Dental clinics operating grant program establishment and appropriation,Minnesota,Dental clinics operating grant program establishment and appropriation,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF4512&ssn=0&y=2019,Introduced or Prefiled,Referred to Health and Human Services Finance and Policy,4/23/20,https://quorum.us/bill/2727819
S.F.4495: Eviction and mortgage foreclosure protection and emergency housing assistance during public health emergency and appropriation,Minnesota,Eviction and mortgage foreclosure protection and emergency housing assistance during public health emergency and appropriation,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF4495&ssn=0&y=2019,Introduced or Prefiled,"Withdrawn and re-referred to Agriculture, Rural Development, and Housing Finance",4/23/20,https://quorum.us/bill/2725073
